1,홍길동,90,59,99,248,82.6666666667,1
2,유관순,95,54,64,213,71,1
3,이순신,50,62,68,180,60,1
4,강감찬,82,97,97,276,92,1
5,김구,87,91,50,228,76,1
6,김유신,53,58,87,198,66,1
7,홍길자,85,82,63,230,76.6666666667,1
8,홍길순,93,53,59,205,68.3333333333,1
9,lmargrie8,83,72,73,228,76,1
10,nlaurencot9,87,65,60,212,70.6666666667,1
11,grudgleya,83,73,78,234,78,1
12,saveryb,89,60,92,241,80.3333333333,1
13,rbeelbyc,97,89,85,271,90.3333333333,1
14,vorringd,54,55,87,196,65.3333333333,1
15,hplaine,87,67,80,234,78,1
16,bsawlf,57,71,67,195,65,1
17,shawsg,51,66,98,215,71.6666666667,1
18,clansdownh,86,56,68,210,70,1
19,rbeautymani,99,85,75,259,86.3333333333,1
20,tseabrookj,89,100,100,289,96.3333333333,1
